"location_name","center_lat","center_lng","bounds_northeast_lat","bounds_northeast_lng","bounds_southwest_lat","bounds_southwest_lng","viewport_northeast_lat","viewport_northeast_lng","viewport_southwest_lat","viewport_southwest_lng"
"Aracruz","-19.8244299","-40.2670486","-19.7900153","-40.2459828","-19.8533445","-40.2872271","-19.7900153","-40.2459828","-19.8533445","-40.2872271"
"São Luís do Quitunde","-9.3198236","-35.5607551","-9.100254","-35.5129967","-9.370566199999999","-35.7251072","-9.100254","-35.5129967","-9.370566199999999","-35.7251072"
"Loos","50.61513900000001","3.017729","50.625642","3.0491913","50.5899239","2.993841","50.625642","3.0491913","50.5899239","2.993841"
"Pantin","48.894533","2.40963","48.9180412","2.4277306","48.8830784","2.3893324","48.9180412","2.4277306","48.8830784","2.3893324"
"Alcântara","-22.8201441","-43.004599","-22.815078","-43.0004816","-22.8258769","-43.0136642","-22.815078","-43.0004816","-22.8258769","-43.0136642"
"Jaguarari","-10.257993","-40.1945297","-10.2496183","-40.1862128","-10.266538","-40.2034757","-10.2496183","-40.1862128","-10.266538","-40.2034757"
"Alhandra","-7.4360522","-34.9127861","-7.416592000000001","-34.9017248","-7.4433134","-34.91895969999999","-7.416592000000001","-34.9017248","-7.4433134","-34.91895969999999"
"Pato Branco","-26.229188","-52.6696111","-26.1190658","-52.64206100000001","-26.2763242","-52.7276474","-26.1190658","-52.64206100000001","-26.2763242","-52.7276474"
"Anglet","43.481402","-1.514699","43.5289843","-1.4899233","43.4495373","-1.5487263","43.5289843","-1.4899233","43.4495373","-1.5487263"
"Marbella","36.510071","-4.8824474","36.5324463","-4.7320417","36.4692554","-4.9979581","36.5324463","-4.7320417","36.4692554","-4.9979581"
"Leganes","40.3319506","-3.7686545","40.3471517","-3.7369119","40.3090196","-3.7954862","40.3471517","-3.7369119","40.3090196","-3.7954862"
"Perdões","-21.0939049","-45.088492","-21.0843384","-45.0709761","-21.1072494","-45.10381","-21.0843384","-45.0709761","-21.1072494","-45.10381"
"Caratinga","-19.7888874","-42.1364522","-19.43947","-41.7781779","-19.938377","-42.5217959","-19.43947","-41.7781779","-19.938377","-42.5217959"
"Mandaguari","-23.5282979","-51.67107439999999","-23.5043833","-51.6552675","-23.5512305","-51.7069924","-23.5043833","-51.6552675","-23.5512305","-51.7069924"
"Quatá","-22.2535848","-50.6953924","-22.2328208","-50.6852555","-22.2608741","-50.7203031","-22.2328208","-50.6852555","-22.2608741","-50.7203031"
"Ipu","-4.3220187","-40.7092475","-4.3132056","-40.698663","-4.342075","-40.731063","-4.3132056","-40.698663","-4.342075","-40.731063"
"Arganzuela","40.398897","-3.7102227","40.4139879","-3.673418","40.382327","-3.7228781","40.4139879","-3.673418","40.382327","-3.7228781"
"Palmeira","-25.4197196","-50.000433","-25.2513774","-49.7403926","-25.6519641","-50.3584511","-25.2513774","-49.7403926","-25.6519641","-50.3584511"
"Exeter","50.72603669999999","-3.5274889","50.76146490000001","-3.456359","50.6873915","-3.570736","50.76146490000001","-3.456359","50.6873915","-3.570736"
"Orem, Utah","40.2968979","-111.6946475","40.33382400000001","-111.6345881","40.2567399","-111.7563371","40.33382400000001","-111.6345881","40.2567399","-111.7563371"
"Bellevue, Nebraska","41.1543623","-95.9145568","41.1911001","-95.8708439","41.104222","-96.009261","41.1911001","-95.8708439","41.104222","-96.009261"
"Port St. Lucie, Florida","27.2730492","-80.3582261","27.3743811","-80.24431","27.205584","-80.481546","27.3743811","-80.24431","27.205584","-80.481546"
"Iconha","-20.7942655","-40.81169939999999","-20.7835945","-40.79914249999999","-20.7999881","-40.8244108","-20.7835945","-40.79914249999999","-20.7999881","-40.8244108"
"Propriá","-10.2122281","-36.8371852","-10.2060347","-36.8222722","-10.2305487","-36.848914","-10.2060347","-36.8222722","-10.2305487","-36.848914"
"Porto da Folha","-9.9197408","-37.27575849999999","-9.9127744","-37.2670234","-9.9249948","-37.2883911","-9.9127744","-37.2670234","-9.9249948","-37.2883911"
"Francisco Morato","-23.2794319","-46.7448066","-23.2507349","-46.68361059999999","-23.3035041","-46.7724073","-23.2507349","-46.68361059999999","-23.3035041","-46.7724073"
"Enid, Oklahoma","36.3955891","-97.8783911","36.4668008","-97.76503600000001","36.3187109","-97.984534","36.4668008","-97.76503600000001","36.3187109","-97.984534"
"Pimenteiras","-6.2362607","-41.4193246","-6.2236539","-41.41622","-6.2420725","-41.4274853","-6.2236539","-41.41622","-6.2420725","-41.4274853"
"Senador Canedo","-16.7001459","-49.0999618","-16.6327398","-49.03688589999999","-16.8111075","-49.1925169","-16.6327398","-49.03688589999999","-16.8111075","-49.1925169"
"Iúna","-20.3527854","-41.5327791","-20.3207311","-41.5162384","-20.3670024","-41.5426522","-20.3207311","-41.5162384","-20.3670024","-41.5426522"
"Santo Antônio de Pádua","-21.5399933","-42.18026039999999","-21.4274721","-41.9931486","-21.7145459","-42.3698921","-21.4274721","-41.9931486","-21.7145459","-42.3698921"
"Bom Jardim","-22.1631595","-42.4257923","-22.1078797","-42.23346120000001","-22.3042423","-42.5221142","-22.1078797","-42.23346120000001","-22.3042423","-42.5221142"
"Parla","40.2373062","-3.7739869","40.2557352","-3.7334466","40.20091559999999","-3.8076063","40.2557352","-3.7334466","40.20091559999999","-3.8076063"
"Saint-Leu","49.019157","2.247531","49.0413796","2.2621399","49.0008031","2.2238962","49.0413796","2.2621399","49.0008031","2.2238962"
"Sceaux","48.77801600000001","2.295092","48.7853972","2.3142533","48.7666001","2.2782991","48.7853972","2.3142533","48.7666001","2.2782991"
"Colmenar Viejo","40.6626481","-3.7710457","40.67630399999999","-3.751519","40.6377387","-3.7935228","40.67630399999999","-3.751519","40.6377387","-3.7935228"
"Santa Eularia des Riu","38.9852753","1.5350964","38.99506299999999","1.5483655","38.97810250000001","1.5227994","38.99506299999999","1.5483655","38.97810250000001","1.5227994"
"Alcala de Henares","40.4843898","-3.3688023","40.5229801","-3.3154891","40.4665996","-3.4178627","40.5229801","-3.3154891","40.4665996","-3.4178627"
"Paraty","-23.2200406","-44.7204077","-22.9141536","-44.50266939999999","-23.3689318","-44.8893205","-22.9141536","-44.50266939999999","-23.3689318","-44.8893205"
"Pasadena, Texas","29.6910625","-95.2091006","29.7399269","-94.982683","29.55783589999999","-95.2345418","29.7399269","-94.982683","29.55783589999999","-95.2345418"
"Cururupu","-1.8259902","-44.873904","-1.8146655","-44.8513247","-1.8321153","-44.8866573","-1.8146655","-44.8513247","-1.8321153","-44.8866573"
"Jersey , New Jersey","40.7177545","-74.0431435","40.768867","-74.020405","40.661622","-74.1170569","40.768867","-74.020405","40.661622","-74.1170569"
"Greenwood, Indiana","39.6136578","-86.10665259999999","39.6369449","-86.039923","39.571337","-86.1648319","39.6369449","-86.039923","39.571337","-86.1648319"
"Santiago","-29.1913279","-54.8656474","-28.8084329","-54.3667356","-29.3956242","-55.13235359999999","-28.8084329","-54.3667356","-29.3956242","-55.13235359999999"
"Astolfo Dutra","-21.3136844","-42.8652105","-21.2995319","-42.8373129","-21.3220339","-42.8795248","-21.2995319","-42.8373129","-21.3220339","-42.8795248"
"Mission Viejo, California","33.5968913","-117.6581562","33.6702047","-117.6249168","33.5338344","-117.6958789","33.6702047","-117.6249168","33.5338344","-117.6958789"
"Capão da Canoa","-29.7579178","-50.0174127","","","","","-29.7565688197085","-50.0160637197085","-29.7592667802915","-50.0187616802915"
"Jacaraú","-6.6151062","-35.2911774","","","","","-6.613757219708497","-35.2898284197085","-6.616455180291502","-35.29252638029149"
"Santa Cruz, California","36.9741171","-122.0307963","37.0108489","-121.9862189","36.9409339","-122.1087411","37.0108489","-121.9862189","36.9409339","-122.1087411"
"Sanford, Florida","28.8028612","-81.269453","28.8345641","-81.20188300000001","28.739271","-81.3474858","28.8345641","-81.20188300000001","28.739271","-81.3474858"
"Jardim Paulista","-23.5739787","-46.6606906","-23.560948","-46.6489699","-23.5875632","-46.67125919999999","-23.560948","-46.6489699","-23.5875632","-46.67125919999999"
"Murici","-9.3096345","-35.9423155","-9.301189599999999","-35.9325117","-9.3243636","-35.9581916","-9.301189599999999","-35.9325117","-9.3243636","-35.9581916"
"Calafell","41.1938386","1.5664556","41.2068955","1.5807655","41.18428040000001","1.5492663","41.2068955","1.5807655","41.18428040000001","1.5492663"
"Porciúncula","-20.9678498","-42.0410601","-20.7632054","-41.775156","-21.0287793","-42.1513991","-20.7632054","-41.775156","-21.0287793","-42.1513991"
"Fortaleza","-3.7327203","-38.5270134","-3.6920259","-38.40132759999999","-3.894603","-38.6379029","-3.6920259","-38.40132759999999","-3.894603","-38.6379029"
"Annecy","45.899247","6.129384","45.9303295","6.1559309","45.8494305","6.101075199999999","45.9303295","6.1559309","45.8494305","6.101075199999999"
"Reno, Nevada","39.529919","-119.8142691","39.723436","-119.6993449","39.3924261","-120.0023379","39.723436","-119.6993449","39.3924261","-120.0023379"
"Ribeirão da Ilha","-27.7145846","-48.5606259","-27.6978542","-48.5485588","-27.7380663","-48.5648116","-27.6978542","-48.5485588","-27.7380663","-48.5648116"
"Kirkland, Washington","47.6768927","-122.2059833","47.74080559999999","-122.1491678","47.6417834","-122.2621629","47.74080559999999","-122.1491678","47.6417834","-122.2621629"
"Plácido de Castro","-10.3308636","-67.1867923","","","","","-10.3295146197085","-67.1854433197085","-10.3322125802915","-67.1881412802915"
"Sarasota, Florida","27.336465","-82.5310117","27.3892091","-82.478641","27.2825251","-82.59721979999999","27.3892091","-82.478641","27.2825251","-82.59721979999999"
"Brejinho","-7.3472312","-37.2869823","","","","","-7.345882219708498","-37.2856333197085","-7.348580180291503","-37.28833128029149"
"Goiás","-15.7050424","-49.36531489999999","-12.3949734","-45.9071553","-19.4983637","-53.2485623","-12.3949734","-45.9071553","-19.4983637","-53.2485623"
"São Lourenço do Sul","-31.3628833","-51.9817911","-30.9833587","-51.7796576","-31.5222538","-52.4753051","-30.9833587","-51.7796576","-31.5222538","-52.4753051"
"Chartres","48.44385399999999","1.489012","48.4689234","1.5496632","48.4271858","1.4596185","48.4689234","1.5496632","48.4271858","1.4596185"
"Brunoy","48.698071","2.504543","48.7130685","2.5296102","48.6766036","2.4822536","48.7130685","2.5296102","48.6766036","2.4822536"
"Barbera del Valles","41.5136208","2.1255553","41.5279639","2.1393688","41.5056543","2.1121529","41.5279639","2.1393688","41.5056543","2.1121529"
"Lepe","37.2280324","-7.200580599999999","37.387854","-7.0636252","37.2034094","-7.3085113","37.387854","-7.0636252","37.2034094","-7.3085113"
"Itamaraju","-17.0346471","-39.532573","-17.0000218","-39.4980081","-17.067388","-39.557994","-17.0000218","-39.4980081","-17.067388","-39.557994"
"Paranavaí","-23.0818946","-52.4624412","-23.0402985","-52.4005015","-23.120705","-52.5051488","-23.0402985","-52.4005015","-23.120705","-52.5051488"
"Santa Maria do Pará","-1.3501218","-47.57546199999999","-1.3377173","-47.5613098","-1.3654376","-47.5944849","-1.3377173","-47.5613098","-1.3654376","-47.5944849"
"São José do Campestre","-6.3184577","-35.7125402","","","","","-6.317108719708497","-35.7111912197085","-6.319806680291502","-35.7138891802915"
"Mandaguaçu","-23.3461253","-52.0955078","-23.3176318","-52.0757748","-23.3674122","-52.1198272","-23.3176318","-52.0757748","-23.3674122","-52.1198272"
"Caçapava do Sul","-30.5147391","-53.483028","-30.1388049","-53.1699384","-30.9685294","-53.8214689","-30.1388049","-53.1699384","-30.9685294","-53.8214689"
"Caicó","-6.459389499999999","-37.0972383","-6.4287481","-37.0471001","-6.498682","-37.1267508","-6.4287481","-37.0471001","-6.498682","-37.1267508"
